id_obra,contratada,data_fim_previsto,data_inicio,descricao,municipio,percentual_executado,status,valor,
6624,ENGTEC,"Wed, 29 Jan 2014","Mon, 25 Feb 2013",CONSTRUÇÃO DE QUADRA COBERTA COM VESTIÁRIOS NA EEFM TENENTE MARIO LIMA NO MUNICIPIO DE MARACANAU - CE,MARACANAÚ,100.00,Concluída,118581.18,
6251,AMP ENGENHARIA,"Mon, 13 Sep 2010","Tue, 21 Jul 2009",REFORMA NO PREDIO DA ADMINISTRAÇAO DA AREA DE EXAMES DO DETRAN CE SEDE,,319217,DETRAN,Obra,939317.68
7385,TECNOS,"Wed, 16 Nov 2016","Thu, 11 Feb 2016","CONSTRUÇÃO DO CENTRO DE EDUCAÇÃO INFANTIL -CEI, NO MUNICÍPIO DE SALITRE/CE",SALITRE,6.26,Em Execução,1069729.21,
2456,CONCRETA ENGENHARIA LTDA,"Tue, 09 Aug 2011","Wed, 18 Nov 2009",CONSTRUÇÃO DE 16 ESCOLAS ESTADUAIS DE ENSINO MÉDIO REGULAR EM DIVERSOS MUNICIPIOS DO ESTADO DO CEARÁ - LOTE Nº 9(PARAMBÚ) - TESOURO,PARAMBU,100.00,Concluída,816923.43,
6832,TECNOCON,"Tue, 31 Mar 2015","Mon, 10 Jun 2013","CONSTRUÇÃO DE ESCOLA DE ENSINO MÉDIO COM 08 SALAS, NO MUNICÍPIO DE MIRAIMA-CE (LOTE I)",MIRAÍMA,99.78,Em Execução,2253230.63,
5787,VERTENTES,"Tue, 07 Jul 2009","Thu, 09 Apr 2009","CONSTRUÇÃO DA QUADRA COBERTA NA ESCOLA JOAQUIM BASTOS, EM CARNAUBAL",CARNAUBAL,42.15,Em Execução,425832.70,
4564,MPA CONSTRUÇÕES,"Thu, 14 Jul 2016","Tue, 17 May 2011",CONSTRUÇÃO DA PRAÇA DA JUVENTUDE NO ESTADO DO CEARA LOCALIZADO NO MUNICIPIO DE TAUA,TAUÁ,67.36,Concluída,2157403.26,
2538,CONSOLIDA,"Tue, 26 Nov 2013","Thu, 10 Feb 2011","CONSTRUÇÃO DE 01(UMA) ESCOLA PROFISSIONAL, COM 12 SALAS EM MAURITI",MAURITI,91.55,Concluída,675494.66,
6207,CONSTRUTORA JUSTO JUNIOR LTDA,"Sat, 17 Apr 2010","Tue, 24 Mar 2009","REFORMA E AMPLIAÇÃO DE UMA DELEGACIA DE POLÍCIA CIVIL, NO MUNICÍPIO DE MILAGRES-CE",MILAGRES,100.00,Concluída,538149.88,
4589,JR COMÉRCIO,"Thu, 20 Sep 2012","Fri, 01 Oct 2010","EXECUÇÃO DAS OBRAS DE SISTEMA DE ABASTECIMENTO DE ÁGUAS NAS COMUNIDADES RURAIS SITUADAS NOS 08(OITO) MUNICÍPIO DE BOA VIAGEM,CANINDE,PEDRA BRANCA,QUITERIANÓPOLIS,TAUÁ,ACOPIARA,CATARINA,E IGUATU ESTADO DO CEARÁ LOTE Nº1",BOA VIAGEM,99.26,Em Execução,422251.23,
7126,TUTTI ENGENHARIA CIVIL,"Wed, 04 May 2016","Thu, 14 Aug 2014",CONSTRUÇÃO DE QUADRA POLIESPORTIVA COBERTA (20X30) NA EEFM JUSTINIANO DE SERPA - FORTALEZA - CE,FORTALEZA,100.00,Cancelada,5200.00,
7621,DUPLO  M,"Wed, 14 Mar 2018","Tue, 18 Jul 2017","OBRA DE CONSTRUÇÃO DA EEMI DEP. MANOEL RODRIGUES, EM FORTALEZA/CE",FORTALEZA,8.93,Em Execução,1283664.09,
7609,OK EMPREENDIMENTOS,"Thu, 05 Apr 2018","Mon, 10 Jul 2017","CONCLUSÃO DA CONSTRUÇÃO DE UMA ESCOLA DE ENSINO MÉDIO, ÁREA RURAL NO MUNICIPIO DE TAUÁ, LOCALIDADE DE MARRUAS - LOTE II",TAUÁ,5.26,Em Execução,1568470.95,
7367,TECNOS,"Mon, 23 Jan 2017","Mon, 11 Jan 2016","CONSTRUÇÃO DO CENTRO DE EDUCAÇÃO INFANTIL-CEI, NO MUNICÍPIO DE COREAÚ/CE",COREAÚ,4.38,Paralisada,1062853.60,
6048,DIOGENES CONSTRUÇÕES LTDA,"Tue, 08 Jul 2008","Thu, 10 Apr 2008","EXECUÇÃO DAS OBRAS COMPLEMENTARES DO PACKING HOUSE DO PROJETO DE AGRICULTURA IRRIGADA CURUPATI, EM JAGUARIBARA",JAGUARIBARA,100.00,Concluída,99003.09,
